target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,advanced,Corporate,35074,0,1,2,1.0839157706,32.858230406,0.855498166,0,0,4.9320008983,681
0,OTHER,advanced,,40000,0,0,0,3.4339829749,29.917164458,1.5226439105,0,0,7.4945355191,690
0,OTHER,elementary,,80040,0,0,,,48.396481773,1.0276293136,,,3.3616438356,691
0,OTHER,elementary,VIP,900000,0,0,0,0.8261648746,35.509589041,0.9215210719,0,0,10.695890411,692
0,OTHER,elementary,Corporate,44062,0,1,0,0.5705421147,39.011685006,0.877438431,1,1,10.910315143,704
0,OTHER,elementary,Corporate,37727,0,1,0,81.373297491,37.17380792,4.5,0,0,11.302575043,707
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,722
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,723
0,OTHER,elementary,,191400,0,0,0,1.4105062724,41.373486039,1.0118422038,2,2,8.0409836066,725
0,OTHER,elementary,Corporate,73267,0,1,1,0.9224462366,30.879452055,8.3780821918,1,1,9.2719664646,733
0,OTHER,elementary,,45000,0,0,1,0.6987903226,27.542465753,1.8301369863,0,0,7.4356164384,736
0,OTHER,advanced,,30000,0,0,0,7.6601702509,39.737704918,1.5926641216,0,0,10.458417546,740
0,OTHER,elementary,Corporate,63687,0,1,,,26.509589041,3.4849315068,,,6.2602739726,741
0,OTHER,elementary,Corporate,51791,0,1,1,0.2798387097,45.147975148,1.997260274,0,0,0.0547945205,746
0,OTHER,elementary,Corporate,100839,0,1,,,37.839935624,5.144045213,,,9.1221274047,753
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,756
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,757
0,OTHER,elementary,,18000,0,0,0,3.439359319,43.09524665,3.1500411707,0,0,9.6157945954,763
0,OTHER,elementary,Corporate,33452,0,1,,,29.036103002,0.5224417995,,,7.9452054795,767
0,OTHER,high,Corporate,36348,0,1,,,31.736986301,0.3260273973,,,5.8465753425,775
0,OTHER,advanced,Corporate,30000,0,1,1,0.311984767,39.203780223,3.6475409836,0,0,9.0256980313,786
0,2NDFL,beginner,,,0,1,0,0.4014560932,49.086136687,3.7540983607,0,0,4.0382513661,789
0,OTHER,elementary,Corporate,34731,0,1,,,25.063402949,0.7704918033,,,4.9647728123,795
0,2NDFL,advanced,,15049,0,1,,,30.07007261,4.1666666667,,,7.5792349727,797
0,OTHER,elementary,,130000,0,0,0,1.1216845878,41.356890486,0.5710382514,,,9.7020959653,809
0,2NDFL,high,,39802,0,0,0,0.7975358423,29.277273748,0.3797814208,0,0,8.7896174863,819
0,2NDFL,elementary,,22344,0,0,0,0.702016129,38.099513437,4.0109289617,0,0,12.757047683,823
0,2NDFL,advanced,,33664,0,0,0,10.086581541,53.804835691,30.821274047,2,2,8.5144247324,824
0,OTHER,advanced,Corporate,245308,0,1,1,1,34.519380193,4.801571974,1,1,10.026229508,825
0,OTHER,advanced,,50000,0,0,,,37.086136687,1.2203832622,,,13.02860244,826
0,2NDFL,elementary,,,0,1,1,0.9226030466,29.424859645,0.586061831,1,1,0.7090126506,827
0,2NDFL,beginner,,,0,1,0,0.6012544803,28.61509095,1.724679991,0,0,8.4234972678,829
0,OTHER,advanced,Corporate,23334,0,1,0,0.3132392473,25.195576016,1.8630136986,1,1,4.1287671233,830
0,2NDFL,advanced,,9616,0,0,,,36.549524665,0.5906205554,,,10.324867131,839
0,OTHER,elementary,Corporate,42380,0,1,1,0.3041442652,45.882191781,1.9178082192,1,1,0.6516356015,841
0,OTHER,elementary,Corporate,115283,0,1,,,35.321109364,10.962205255,,,10.633438132,842
0,OTHER,elementary,Corporate,78356,0,1,1,1.0883064516,27.683060109,4.0601092896,0,0,7.3387978142,845
0,OTHER,elementary,Corporate,78356,0,1,1,1.0883064516,27.683060109,4.0601092896,0,0,7.3387978142,846
0,OTHER,elementary,,25000,0,0,,,30.2,1.1993113257,,,4.1205479452,848
0,2NDFL,elementary,Corporate,176755,0,1,,,30.543858073,3.912568306,,,9.2096114979,849
0,OTHER,elementary,Corporate,69953,0,1,1,0.7680331541,36.967647279,2.7452054795,0,0,11.863013699,850
0,2NDFL,advanced,,23123,0,0,0,42.411043907,36.449315068,3.3095890411,0,0,11.767123288,857
0,OTHER,elementary,Corporate,49038,0,1,0,1.1104614695,48.593165656,3.5792349727,0,0,3.3767272999,861
0,OTHER,elementary,Corporate,59955,0,1,1,0.2409722222,25.056179355,2.4287820945,0,0,1.0452204506,868
0,OTHER,elementary,,87000,0,0,0,4.8277329749,51.093712104,5.7950819672,0,0,5.7348079946,870
0,OTHER,elementary,,60000,0,0,0,1,34.40412456,0.6233026424,0,0,9.8726177109,871
0,OTHER,elementary,Corporate,49013,0,1,,,30.534246575,5.5342465753,,,9.9698630137,894
0,OTHER,advanced,Corporate,36184,0,1,0,3.7306451613,25.168702747,1.9276068568,0,0,4.4892506924,895
0,OTHER,elementary,,39150,0,0,0,22.088956093,34.220218579,0.5956284153,0,1,8.7599446066,898
0,OTHER,advanced,Corporate,18458,0,1,0,27.987275986,55.445355191,0.8537914515,0,0,8.8291339172,900
0,OTHER,advanced,Corporate,13231,0,1,1,1.8603270609,44.819904184,0.5546448087,0,0,2.5020959653,922
0,OTHER,elementary,Corporate,151048,0,1,1,0.603718638,39.579234973,2.7036754248,0,0,8.5694288495,924
0,2NDFL,beginner,,68952,0,0,0,1.2515456989,27.029493226,1.5856576091,,,5.8459315817,931
0,OTHER,elementary,Corporate,44843,0,1,0,,25.836177858,1.0526162138,0,0,2.5348079946,934
0,OTHER,elementary,Corporate,40551,0,1,0,,28.257100082,0.6434014522,0,0,0.818743918,936
0,2NDFL,advanced,,60900,0,0,,,42.934246575,0.3397260274,,,4.7716520698,939
0,OTHER,elementary,Corporate,62000,0,0,0,7.5047267025,39.975409836,9.5546298376,0,0,10.606684632,940
0,2NDFL,elementary,,,0,1,0,0.3141577061,26.016438356,1.9424657534,1,1,5.8684931507,944
0,OTHER,elementary,Corporate,107807,0,1,2,0.5967741935,41.613780972,5.9699453552,0,1,8.4808743169,945
0,OTHER,elementary,Corporate,20185,0,1,1,0.9853046595,30.639389176,0.5,0,0,10.094183696,947
0,OTHER,elementary,,102000,0,0,1,1.2791442652,53.249876488,3.7265888165,0,0,8.2076502732,949
0,OTHER,elementary,Corporate,38518,0,1,1,0.4366935484,52.50127255,0.9247698181,1,1,7.3808219178,951
0,OTHER,advanced,Corporate,20316,0,1,1,0.8288530466,25.211520323,1.3594655289,0,0,5.1676847069,955
0,2NDFL,advanced,,84738,0,0,0,0.4100358423,35.210958904,7.4082191781,1,1,9.3353469571,961
0,OTHER,elementary,Corporate,113691,0,1,0,0.1870967742,28.128767123,1.6547945205,1,1,8.104109589,969
0,OTHER,elementary,Corporate,89211,0,1,0,0.5014560932,27.235863463,4.2349726776,0,0,7.1701100382,972
0,OTHER,elementary,,80000,1,0,0,,51.866120219,1.2571000823,0,0,5.5173740549,976
0,2NDFL,elementary,,200644,0,0,0,17.434386201,34.234972678,4.4870274721,0,0,9.1034658283,977
0,2NDFL,elementary,Corporate,91538,0,1,,,50.328849465,0.3360655738,,,5.3041919305,982
0,2NDFL,advanced,,28791,0,1,0,60.989852151,51.717808219,29.849315068,0,0,6.6547945205,988
0,2NDFL,elementary,,112129,0,0,0,2.508266129,29.424657534,1.8630136986,0,0,6.6383561644,996
0,OTHER,elementary,,50000,0,0,0,,36.451575717,0.9461112359,1,1,11.347945205,1000
0,OTHER,elementary,,65000,0,0,1,0.5337365591,33.915150835,5.5562467251,0,0,9.6658357662,1002
0,OTHER,beginner,Corporate,50000,0,1,0,-0.816666667,44.416438356,2.9671232877,1,1,11.419178082,1014
0,OTHER,elementary,Corporate,186827,0,1,0,22.540300179,36.530705891,0.8567332884,0,0,1.1060483569,1016
0,2NDFL,beginner,,134724,0,0,3,0.281765233,36.423654465,7.3589041096,1,1,11.183561644,1028
0,OTHER,advanced,Corporate,36300,0,1,0,,30.84165731,5.1046710083,,,9.4882326521,1033
0,OTHER,elementary,,121000,0,0,1,1.6691980287,39.50273224,3.1003667939,1,1,9.6702298076,1044
0,OTHER,elementary,Corporate,25338,0,1,0,0.8603046595,25.810958904,2.5589041096,1,1,5.7232876712,1046
0,OTHER,advanced,,45000,0,0,0,0.7956765233,44.325720488,3.8,0,0,10.443835616,1051
0,2NDFL,advanced,,17458,0,0,1,0.277688172,36.090163934,12.487027472,0,0,10.629493226,1053
0,2NDFL,elementary,Corporate,146761,0,1,2,0.7899193548,29.557197395,3.3243206827,0,0,8.543715847,1054
0,OTHER,elementary,Corporate,49171,0,1,0,2.0789650538,30.789415375,1.9921551014,0,0,2.7318811288,1059
0,OTHER,elementary,,74000,0,0,0,0.7992607527,39.030136986,0.5798188487,0,0,5.402739726,1062
0,OTHER,elementary,,100000,0,0,1,0.4983198925,36.407103825,1.094355865,0,0,3.4423010704,1069
0,OTHER,elementary,Corporate,39366,0,0,1,0.4762992832,27.939726027,6.3068493151,1,1,7.7479452055,1077
0,OTHER,elementary,Corporate,21076,0,1,,,29.910629538,5.6202185792,,,9.699670634,1080
0,OTHER,elementary,Corporate,128306,0,1,0,15.058758961,52.341687252,4.8935998203,0,0,7.1753424658,1087
0,OTHER,elementary,,150000,0,0,1,0.9859767025,44.409836066,11.81147541,0,0,8.2732240437,1095
0,2NDFL,elementary,,11670,1,0,,,32.172131148,1.0375477206,,,10.506040871,1098
0,2NDFL,advanced,,18287,0,0,2,0.6585349462,30.675544577,4.0109289617,1,1,2.705681563,1102
0,OTHER,elementary,,80000,0,0,0,37.154323477,29.588038027,0.6702298076,0,0,7.7568306011,1107
0,OTHER,advanced,,70000,0,0,0,20.537051971,40.475409836,11.214260049,0,0,11.389602515,1109
0,OTHER,high,,104400,0,0,0,0.6655241935,44.799176585,4.4109589041,1,1,11.046575342,1114
0,OTHER,elementary,VIP,439312,0,1,0,0.508266129,35.4008833,0.4754098361,0,0,10.562527135,1116
0,OTHER,elementary,,16900,0,0,0,54.988530466,51.180821918,0.3890410959,1,1,6.0794520548,1129
0,2NDFL,elementary,,153763,0,0,0,0.4101926523,41.71610899,6.2065199491,0,0,10.979122689,1134
0,OTHER,advanced,Corporate,42984,0,0,,,41.412628191,4.2739726027,,,1.7186391197,1140
0,2NDFL,elementary,,18198,0,0,,,31.530054645,2.5767347855,,,8.6150909499,1151
